Product ID,Category,Sub-Category,Product Name,Unit Price
OS-E-10000000,Office Supplies,Envelopes,Letter Envelope,10.76
T-S-10000001,Technology,Storage,USB Flash Drive,83.51
T-P-10000002,Technology,Phones,Google Pixel 7,942.23
OS-E-10000003,Office Supplies,Envelopes,Padded Envelope,7.34
T-S-10000004,Technology,Storage,Memory Card,182.94
T-A-10000005,Technology,Accessories,USB-C Hub,26.28
OS-P&A-10000006,Office Supplies,Pens & Art,Ballpoint Pen,3.8
OS-P&A-10000007,Office Supplies,Pens & Art,Marker Set,16.21
T-P-10000008,Technology,Phones,Samsung Galaxy S22,970.97
T-A-10000009,Technology,Accessories,Webcam HD,36.73
T-M-10000010,Technology,Machines,Laminator,178.64
T-C-10000011,Technology,Copiers,Xerox VersaLink,333.07
T-A-10000012,Technology,Accessories,Wireless Mouse,84.06
T-P-10000013,Technology,Phones,OnePlus 11,662
T-C-10000014,Technology,Copiers,Canon ImageRunner,734.08
OS-P-10000015,Office Supplies,Paper,Sticky Notes,5.98
OS-P-10000016,Office Supplies,Paper,Copy Paper,16.73
OS-B-10000017,Office Supplies,Binders,3-Ring Binder,18.49
OS-B-10000018,Office Supplies,Binders,Leather Portfolio,26.24
T-M-10000019,Technology,Machines,Paper Shredder,154.87
T-P-10000020,Technology,Phones,iPhone 14,1188.85
OS-P-10000021,Office Supplies,Paper,Notebook,17.18
OS-P&A-10000022,Office Supplies,Pens & Art,Highlighters,16.51
OS-P-10000023,Office Supplies,Paper,Printer Paper,9.88
T-C-10000024,Technology,Copiers,HP LaserJet Pro,700.92
T-S-10000025,Technology,Storage,External SSD,107.51
OS-P&A-10000026,Office Supplies,Pens & Art,Mechanical Pencil,17.07
T-M-10000027,Technology,Machines,3D Printer,344.08
OS-B-10000028,Office Supplies,Binders,Tab Dividers,13.24
T-A-10000029,Technology,Accessories,Bluetooth Keyboard,31.31
T-M-10000030,Technology,Machines,Label Maker,423.03
T-S-10000031,Technology,Storage,Network Drive,85.2
OS-E-10000032,Office Supplies,Envelopes,Bubble Mailer,9.03
